,Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income_bracket,income,gender,srace,Y,attr
36,36,19,4,544091,11,9,1,1,5, White, Female,0,0,25, United-States, <=50K,1,0,4,1,1
37,37,31,4,84154,15,10,2,12,0, White, Male,0,0,38, ?, >50K,-1,1,4,-1,-1
38,38,48,6,265477,7,12,2,10,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
39,39,31,4,507875,6,5,2,7,0, White, Male,0,0,43, United-States, <=50K,1,1,4,1,-1
40,40,53,6,88506,9,13,2,10,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
41,41,24,4,172987,9,13,2,13,0, White, Male,0,0,50, United-States, <=50K,1,1,4,1,-1
42,42,49,4,94638,11,9,5,1,4, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
43,43,25,4,289980,11,9,4,6,1, White, Male,0,0,35, United-States, <=50K,1,1,4,1,-1
44,44,57,1,337895,9,13,2,10,0, Black, Male,0,0,40, United-States, >50K,-1,1,2,-1,-1
45,45,53,4,144361,11,9,2,7,0, White, Male,0,0,38, United-States, <=50K,1,1,4,1,-1
46,46,44,4,128354,12,14,0,4,4, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
47,47,41,7,101603,8,11,2,3,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
48,48,29,4,271466,8,11,4,10,1, White, Male,0,0,43, United-States, <=50K,1,1,4,1,-1
49,49,25,4,32275,15,10,2,4,5, Other, Female,0,0,40, United-States, <=50K,1,0,3,1,1
50,50,18,4,226956,11,9,4,8,3, White, Female,0,0,30, ?, <=50K,1,0,4,1,1
51,51,47,4,51835,14,15,2,10,5, White, Female,0,1902,60, Honduras, >50K,-1,0,4,-1,1
52,52,50,1,251585,9,13,0,4,1, White, Male,0,0,55, United-States, >50K,-1,1,4,-1,-1
53,53,47,5,109832,11,9,0,4,1, White, Male,0,0,60, United-States, <=50K,1,1,4,1,-1
54,54,43,4,237993,15,10,2,13,0, White, Male,0,0,40, United-States, >50K,-1,1,4,-1,-1
55,55,46,4,216666,4,3,2,7,0, White, Male,0,0,40, Mexico, <=50K,1,1,4,1,-1
56,56,35,4,56352,8,11,2,8,0, White, Male,0,0,40, Puerto-Rico, <=50K,1,1,4,1,-1
57,57,41,4,147372,11,9,2,1,0, White, Male,0,0,48, United-States, <=50K,1,1,4,1,-1
58,58,30,4,188146,11,9,2,7,0, White, Male,5013,0,40, United-States, <=50K,1,1,4,1,-1
59,59,30,4,59496,9,13,2,12,0, White, Male,2407,0,40, United-States, <=50K,1,1,4,1,-1
60,60,32,0,293936,5,4,3,0,1, White, Male,0,0,40, ?, <=50K,1,1,4,1,-1
61,61,48,4,149640,11,9,2,14,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
62,62,42,4,116632,10,16,2,10,0, White, Male,0,0,45, United-States, >50K,-1,1,4,-1,-1
63,63,29,4,105598,15,10,0,13,1, White, Male,0,0,58, United-States, <=50K,1,1,4,1,-1
64,64,36,4,155537,11,9,2,3,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
65,65,28,4,183175,15,10,0,1,1, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
66,66,53,4,169846,11,9,2,1,5, White, Female,0,0,40, United-States, >50K,-1,0,4,-1,1
67,67,49,5,191681,15,10,2,4,0, White, Male,0,0,50, United-States, >50K,-1,1,4,-1,-1
68,68,25,0,200681,15,10,4,0,3, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
69,69,19,4,101509,15,10,4,10,3, White, Male,0,0,32, United-States, <=50K,1,1,4,1,-1
70,70,31,4,309974,9,13,5,12,3, Black, Female,0,0,40, United-States, <=50K,1,0,2,1,1
71,71,29,6,162298,9,13,2,12,0, White, Male,0,0,70, United-States, >50K,-1,1,4,-1,-1
72,72,23,4,211678,15,10,4,7,1, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
73,73,79,4,124744,15,10,2,10,2, White, Male,0,0,20, United-States, <=50K,1,1,4,1,-1
74,74,27,4,213921,11,9,4,8,3, White, Male,0,0,40, Mexico, <=50K,1,1,4,1,-1
75,75,40,4,32214,7,12,2,1,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
76,76,67,0,212759,0,6,2,0,0, White, Male,0,0,2, United-States, <=50K,1,1,4,1,-1
77,77,18,4,309634,1,7,4,8,3, White, Female,0,0,22, United-States, <=50K,1,0,4,1,1
78,78,31,2,125927,5,4,2,5,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
79,79,18,4,446839,11,9,4,12,1, White, Male,0,0,30, United-States, <=50K,1,1,4,1,-1
80,80,52,4,276515,9,13,2,8,0, White, Male,0,0,40, Cuba, <=50K,1,1,4,1,-1
81,81,46,4,51618,11,9,2,8,5, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
82,82,59,4,159937,11,9,2,12,0, White, Male,0,0,48, United-States, <=50K,1,1,4,1,-1
83,83,44,4,343591,11,9,0,3,1, White, Female,14344,0,40, United-States, >50K,-1,0,4,-1,1
84,84,53,4,346253,11,9,0,12,3, White, Female,0,0,35, United-States, <=50K,1,0,4,1,1
85,85,49,2,268234,11,9,2,11,0, White, Male,0,0,40, United-States, >50K,-1,1,4,-1,-1
86,86,33,4,202051,12,14,2,10,0, White, Male,0,0,50, United-States, <=50K,1,1,4,1,-1
87,87,30,4,54334,6,5,4,12,1, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
88,88,43,1,410867,10,16,4,10,1, White, Female,0,0,50, United-States, >50K,-1,0,4,-1,1
89,89,57,4,249977,8,11,2,10,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
90,90,37,4,286730,15,10,0,3,4, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
91,91,28,4,212563,15,10,0,7,4, Black, Female,0,0,25, United-States, <=50K,1,0,2,1,1
92,92,30,4,117747,11,9,2,12,5, Asian-Pac-Islander, Female,0,1573,35, ?, <=50K,1,0,1,1,1
93,93,34,2,226296,9,13,2,11,0, White, Male,0,0,40, United-States, >50K,-1,1,4,-1,-1
94,94,29,2,115585,15,10,4,6,1, White, Male,0,0,50, United-States, <=50K,1,1,4,1,-1
95,95,48,6,191277,10,16,2,10,0, White, Male,0,1902,60, United-States, >50K,-1,1,4,-1,-1
96,96,37,4,202683,15,10,2,12,0, White, Male,0,0,48, United-States, >50K,-1,1,4,-1,-1
97,97,48,4,171095,7,12,0,4,4, White, Female,0,0,40, England, <=50K,1,0,4,1,1
98,98,32,1,249409,11,9,4,8,3, Black, Male,0,0,40, United-States, <=50K,1,1,2,1,-1
99,99,76,4,124191,12,14,2,4,0, White, Male,0,0,40, United-States, >50K,-1,1,4,-1,-1
100,100,44,4,198282,9,13,2,4,0, White, Male,15024,0,60, United-States, >50K,-1,1,4,-1,-1
101,101,47,6,149116,12,14,4,10,1, White, Female,0,0,50, United-States, <=50K,1,0,4,1,1
102,102,20,4,188300,15,10,4,13,3, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
103,103,29,4,103432,11,9,4,3,1, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
104,104,32,5,317660,11,9,2,3,0, White, Male,7688,0,40, United-States, >50K,-1,1,4,-1,-1
105,105,17,0,304873,0,6,4,0,3, White, Female,34095,0,32, United-States, <=50K,1,0,4,1,1
106,106,30,4,194901,1,7,4,6,3, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
107,107,31,2,189265,11,9,4,1,1, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
108,108,42,4,124692,11,9,2,6,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
109,109,24,4,432376,9,13,4,12,2, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
110,110,38,4,65324,14,15,2,10,0, White, Male,0,0,40, United-States, >50K,-1,1,4,-1,-1
111,111,56,6,335605,11,9,2,8,0, White, Male,0,1887,50, Canada, >50K,-1,1,4,-1,-1
112,112,28,4,377869,15,10,2,12,5, White, Female,4064,0,25, United-States, <=50K,1,0,4,1,1
113,113,36,4,102864,11,9,4,7,3, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
114,114,53,4,95647,6,5,2,6,0, White, Male,0,0,50, United-States, <=50K,1,1,4,1,-1
115,115,56,5,303090,15,10,2,12,0, White, Male,0,0,50, United-States, <=50K,1,1,4,1,-1
116,116,49,2,197371,8,11,2,3,0, Black, Male,0,0,40, United-States, >50K,-1,1,2,-1,-1
117,117,55,4,247552,15,10,2,12,0, White, Male,0,0,56, United-States, <=50K,1,1,4,1,-1
118,118,22,4,102632,11,9,4,3,1, White, Male,0,0,41, United-States, <=50K,1,1,4,1,-1
119,119,21,4,199915,15,10,4,8,3, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
120,120,40,4,118853,9,13,2,4,0, White, Male,0,0,60, United-States, <=50K,1,1,4,1,-1
121,121,30,4,77143,9,13,4,4,3, Black, Male,0,0,40, Germany, <=50K,1,1,2,1,-1
122,122,29,7,267989,9,13,2,10,0, White, Male,0,0,50, United-States, >50K,-1,1,4,-1,-1
123,123,19,4,301606,15,10,4,8,3, Black, Male,0,0,35, United-States, <=50K,1,1,2,1,-1
124,124,47,4,287828,9,13,2,4,5, White, Female,0,0,40, United-States, >50K,-1,0,4,-1,1
125,125,20,4,111697,15,10,4,1,3, White, Female,0,1719,28, United-States, <=50K,1,0,4,1,1
126,126,31,4,114937,7,12,2,1,0, White, Male,0,0,40, United-States, >50K,-1,1,4,-1,-1
127,127,35,0,129305,11,9,2,0,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
128,128,39,4,365739,15,10,0,3,1, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
129,129,28,4,69621,7,12,4,12,1, White, Female,0,0,60, United-States, <=50K,1,0,4,1,1
130,130,24,4,43323,11,9,4,8,1, White, Female,0,1762,40, United-States, <=50K,1,0,4,1,1
131,131,38,6,120985,11,9,2,3,0, White, Male,4386,0,35, United-States, <=50K,1,1,4,1,-1
132,132,37,4,254202,9,13,2,12,0, White, Male,0,0,50, United-States, <=50K,1,1,4,1,-1
133,133,46,4,146195,7,12,0,13,1, Black, Female,0,0,36, United-States, <=50K,1,0,2,1,1
134,134,38,1,125933,12,14,2,10,0, White, Male,0,0,40, Iran, >50K,-1,1,4,-1,-1
135,135,43,6,56920,11,9,2,3,0, White, Male,0,0,60, United-States, <=50K,1,1,4,1,-1
136,136,27,4,163127,8,11,2,1,5, White, Female,0,0,35, United-States, <=50K,1,0,4,1,1
137,137,20,4,34310,15,10,4,12,3, White, Male,0,0,20, United-States, <=50K,1,1,4,1,-1
138,138,49,4,81973,15,10,2,3,0, Asian-Pac-Islander, Male,0,0,40, United-States, >50K,-1,1,1,-1,-1
139,139,61,5,66614,11,9,2,3,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
140,140,27,4,232782,15,10,4,12,3, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
141,141,19,4,316868,15,10,4,8,3, White, Male,0,0,30, Mexico, <=50K,1,1,4,1,-1
142,142,45,4,196584,8,11,4,10,1, White, Female,0,1564,40, United-States, >50K,-1,0,4,-1,1
143,143,70,4,105376,15,10,4,13,2, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
144,144,31,4,185814,11,9,4,14,4, Black, Female,0,0,30, United-States, <=50K,1,0,2,1,1
145,145,22,4,175374,15,10,2,8,0, White, Male,0,0,24, United-States, <=50K,1,1,4,1,-1
146,146,36,4,108293,11,9,6,8,4, White, Female,0,0,24, United-States, <=50K,1,0,4,1,1
147,147,64,4,181232,1,7,2,3,0, White, Male,0,2179,40, United-States, <=50K,1,1,4,1,-1
148,148,43,0,174662,15,10,0,0,1, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
149,149,47,2,186009,15,10,0,1,4, White, Female,0,0,38, Mexico, <=50K,1,0,4,1,1
150,150,34,4,198183,11,9,4,1,1, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
151,151,33,4,163003,9,13,4,4,2, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K,1,0,1,1,1
152,152,21,4,296158,11,9,4,3,3, White, Male,0,0,35, United-States, <=50K,1,1,4,1,-1
153,153,52,0,252903,11,9,0,0,1, White, Male,0,0,45, United-States, >50K,-1,1,4,-1,-1
154,154,48,4,187715,11,9,2,3,0, White, Male,0,0,46, United-States, <=50K,1,1,4,1,-1
155,155,23,4,214542,9,13,4,6,1, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
156,156,71,6,494223,15,10,5,12,4, Black, Male,0,1816,2, United-States, <=50K,1,1,2,1,-1
157,157,29,4,191535,11,9,0,3,1, White, Male,0,0,60, United-States, <=50K,1,1,4,1,-1
158,158,42,4,228456,9,13,5,8,2, Black, Male,0,0,50, United-States, <=50K,1,1,2,1,-1
159,159,68,0,38317,3,2,0,0,1, White, Female,0,0,20, United-States, <=50K,1,0,4,1,1
160,160,25,4,252752,11,9,4,8,4, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
161,161,44,5,78374,12,14,0,4,4, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K,1,0,1,1,1
162,162,28,4,88419,11,9,4,4,1, Asian-Pac-Islander, Female,0,0,40, England, <=50K,1,0,1,1,1
163,163,45,6,201080,12,14,2,12,0, White, Male,0,0,40, United-States, >50K,-1,1,4,-1,-1
164,164,36,4,207157,15,10,0,8,4, White, Female,0,0,40, Mexico, <=50K,1,0,4,1,1
165,165,39,1,235485,7,12,4,4,1, White, Male,0,0,42, United-States, <=50K,1,1,4,1,-1
166,166,46,7,102628,12,14,6,11,4, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
167,167,18,4,25828,1,7,4,6,3, White, Male,0,0,16, United-States, <=50K,1,1,4,1,-1
168,168,66,2,54826,8,11,6,10,1, White, Female,0,0,20, United-States, <=50K,1,0,4,1,1
169,169,27,4,124953,11,9,4,8,1, White, Male,0,1980,40, United-States, <=50K,1,1,4,1,-1
170,170,28,7,175325,11,9,2,11,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
171,171,51,4,96062,15,10,2,12,0, White, Male,0,1977,40, United-States, >50K,-1,1,4,-1,-1
172,172,27,4,428030,9,13,4,3,1, White, Male,0,0,50, United-States, <=50K,1,1,4,1,-1
173,173,28,7,149624,9,13,2,10,0, White, Male,0,0,40, United-States, >50K,-1,1,4,-1,-1
174,174,27,4,253814,11,9,3,12,4, White, Female,0,0,25, United-States, <=50K,1,0,4,1,1
175,175,21,4,312956,11,9,4,3,3, Black, Male,0,0,40, United-States, <=50K,1,1,2,1,-1
176,176,34,4,483777,11,9,4,6,1, Black, Male,0,0,40, United-States, <=50K,1,1,2,1,-1
177,177,18,4,183930,11,9,4,8,3, White, Male,0,0,12, United-States, <=50K,1,1,4,1,-1
178,178,33,4,37274,9,13,2,10,0, White, Male,0,0,65, United-States, <=50K,1,1,4,1,-1
179,179,44,2,181344,15,10,2,4,0, Black, Male,0,0,38, United-States, >50K,-1,1,2,-1,-1
180,180,43,4,114580,15,10,0,1,1, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
181,181,30,4,633742,15,10,4,3,1, Black, Male,0,0,45, United-States, <=50K,1,1,2,1,-1
182,182,40,4,286370,5,4,2,7,0, White, Male,0,0,40, Mexico, >50K,-1,1,4,-1,-1
183,183,37,1,29054,15,10,2,1,0, White, Male,0,0,42, United-States, >50K,-1,1,4,-1,-1
184,184,34,4,304030,11,9,2,1,0, Black, Male,0,0,40, United-States, <=50K,1,1,2,1,-1
185,185,41,6,143129,9,13,0,4,1, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
186,186,53,0,135105,9,13,0,0,1, White, Female,0,0,50, United-States, <=50K,1,0,4,1,1
187,187,31,4,99928,12,14,2,10,5, White, Female,0,0,50, United-States, <=50K,1,0,4,1,1
188,188,58,7,109567,10,16,2,10,0, White, Male,0,0,1, United-States, >50K,-1,1,4,-1,-1
189,189,38,4,155222,15,10,0,7,1, Black, Female,0,0,28, United-States, <=50K,1,0,2,1,1
190,190,24,4,159567,15,10,2,7,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
191,191,41,2,523910,9,13,2,3,0, Black, Male,0,0,40, United-States, <=50K,1,1,2,1,-1
192,192,47,4,120939,15,10,2,13,0, White, Male,0,0,45, United-States, <=50K,1,1,4,1,-1
193,193,41,1,130760,9,13,2,13,0, White, Male,0,0,24, United-States, <=50K,1,1,4,1,-1
194,194,23,4,197387,4,3,2,14,2, White, Male,0,0,40, Mexico, <=50K,1,1,4,1,-1
195,195,36,4,99374,15,10,0,3,1, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
196,196,40,1,56795,12,14,4,4,1, White, Female,14084,0,55, United-States, >50K,-1,0,4,-1,1
197,197,35,4,138992,12,14,2,10,2, White, Male,7298,0,40, United-States, >50K,-1,1,4,-1,-1
198,198,24,6,32921,11,9,4,12,1, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
199,199,26,4,397317,12,14,4,10,1, White, Female,0,1876,40, United-States, <=50K,1,0,4,1,1
200,200,19,0,170653,11,9,4,0,3, White, Male,0,0,40, Italy, <=50K,1,1,4,1,-1
201,201,51,4,259323,9,13,2,4,0, White, Male,0,0,50, United-States, >50K,-1,1,4,-1,-1
202,202,42,2,254817,15,10,4,10,1, White, Female,0,1340,40, United-States, <=50K,1,0,4,1,1
203,203,37,7,48211,11,9,0,1,4, White, Female,0,0,35, United-States, <=50K,1,0,4,1,1
204,204,18,4,140164,1,7,4,12,3, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
205,205,36,4,128757,9,13,2,8,0, Black, Male,7298,0,36, United-States, >50K,-1,1,2,-1,-1
206,206,35,4,36270,11,9,0,3,1, White, Male,0,0,60, United-States, <=50K,1,1,4,1,-1
207,207,58,5,210563,11,9,2,12,5, White, Female,15024,0,35, United-States, >50K,-1,0,4,-1,1
208,208,17,4,65368,1,7,4,12,3, White, Female,0,0,12, United-States, <=50K,1,0,4,1,1
209,209,44,2,160943,11,9,2,14,0, Black, Male,0,0,40, United-States, <=50K,1,1,2,1,-1
210,210,37,4,208358,11,9,2,3,0, White, Male,0,0,40, United-States, >50K,-1,1,4,-1,-1
211,211,35,4,153790,15,10,4,12,1, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K,1,0,0,1,1
212,212,60,4,85815,11,9,2,3,0, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K,1,1,1,1,-1
213,213,54,5,125417,5,4,2,7,0, White, Male,0,0,40, United-States, >50K,-1,1,4,-1,-1
214,214,37,4,635913,9,13,4,4,1, Black, Male,0,0,60, United-States, >50K,-1,1,2,-1,-1
215,215,50,4,313321,7,12,0,12,1, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
216,216,38,4,182609,9,13,2,12,0, White, Male,0,0,50, Poland, <=50K,1,1,4,1,-1
217,217,45,4,109434,9,13,2,10,0, White, Male,0,0,55, United-States, <=50K,1,1,4,1,-1
218,218,25,4,255004,0,6,4,3,1, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
219,219,31,4,197860,15,10,2,6,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
220,220,64,0,187656,3,2,0,0,1, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
221,221,90,4,51744,11,9,4,8,1, Black, Male,0,2206,40, United-States, <=50K,1,1,2,1,-1
222,222,54,4,176681,11,9,2,1,0, Black, Male,0,0,20, United-States, <=50K,1,1,2,1,-1
223,223,53,2,140359,13,1,4,7,1, White, Female,0,0,35, United-States, <=50K,1,0,4,1,1
224,224,18,4,243313,11,9,4,12,3, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
225,225,60,0,24215,0,6,0,0,1, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K,1,0,0,1,1
226,226,66,6,167687,11,9,2,5,0, White, Male,1409,0,50, United-States, <=50K,1,1,4,1,-1
227,227,75,4,314209,8,11,6,1,1, White, Female,0,0,20, Columbia, <=50K,1,0,4,1,1
228,228,65,4,176796,11,9,0,1,1, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
229,229,35,4,538583,1,7,5,14,1, Black, Male,3674,0,40, United-States, <=50K,1,1,2,1,-1
230,230,41,4,130408,11,9,0,12,4, Black, Female,0,0,38, United-States, <=50K,1,0,2,1,1
231,231,25,4,159732,15,10,4,1,1, White, Male,0,0,42, United-States, <=50K,1,1,4,1,-1
232,232,33,4,110978,15,10,0,3,2, Other, Female,0,0,40, United-States, <=50K,1,0,3,1,1
233,233,28,4,76714,14,15,4,10,1, White, Male,0,0,55, United-States, >50K,-1,1,4,-1,-1
234,234,59,7,268700,11,9,2,8,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
235,235,40,7,170525,15,10,4,1,1, White, Female,0,0,38, United-States, <=50K,1,0,4,1,1
236,236,41,4,180138,9,13,2,4,0, White, Male,0,0,50, Iran, >50K,-1,1,4,-1,-1
237,237,38,2,115076,12,14,2,4,0, White, Male,0,0,70, United-States, >50K,-1,1,4,-1,-1
238,238,23,4,115458,11,9,4,14,3, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
239,239,40,4,347890,9,13,2,10,0, White, Male,0,0,40, United-States, >50K,-1,1,4,-1,-1
240,240,41,6,196001,11,9,2,8,5, White, Female,0,0,20, United-States, <=50K,1,0,4,1,1
241,241,24,7,273905,7,12,2,11,0, White, Male,0,0,50, United-States, <=50K,1,1,4,1,-1
242,242,20,0,119156,15,10,4,0,3, White, Male,0,0,20, United-States, <=50K,1,1,4,1,-1
243,243,38,4,179488,15,10,0,3,1, White, Male,0,1741,40, United-States, <=50K,1,1,4,1,-1
244,244,56,4,203580,11,9,2,1,0, White, Male,0,0,35, ?, <=50K,1,1,4,1,-1
245,245,58,4,236596,11,9,2,1,0, White, Male,0,0,45, United-States, >50K,-1,1,4,-1,-1
246,246,32,4,183916,11,9,4,8,1, White, Female,0,0,34, United-States, <=50K,1,0,4,1,1
247,247,40,4,207578,7,12,2,13,0, White, Male,0,1977,60, United-States, >50K,-1,1,4,-1,-1
248,248,45,4,153141,11,9,2,1,0, White, Male,0,0,40, ?, <=50K,1,1,4,1,-1
249,249,41,4,112763,14,15,2,10,5, White, Female,0,0,40, United-States, >50K,-1,0,4,-1,1
250,250,42,4,390781,9,13,2,1,5, Black, Female,0,0,40, United-States, <=50K,1,0,2,1,1
251,251,59,2,171328,0,6,6,8,4, Black, Female,0,0,30, United-States, <=50K,1,0,2,1,1
252,252,19,2,27382,15,10,4,1,3, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
253,253,58,4,259014,15,10,4,14,1, White, Male,0,0,20, United-States, <=50K,1,1,4,1,-1
254,254,42,6,303044,11,9,2,5,0, Asian-Pac-Islander, Male,0,0,40, Cambodia, >50K,-1,1,1,-1,-1
255,255,20,4,117789,11,9,4,8,3, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
256,256,32,4,172579,11,9,5,8,1, White, Female,0,0,30, United-States, <=50K,1,0,4,1,1
257,257,45,4,187666,8,11,6,4,1, White, Female,0,0,45, United-States, <=50K,1,0,4,1,1
258,258,50,4,204518,5,4,0,3,1, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
259,259,36,4,150042,9,13,0,10,3, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
260,260,45,4,98092,11,9,2,12,0, White, Male,0,0,60, United-States, <=50K,1,1,4,1,-1
261,261,17,4,245918,1,7,4,8,3, White, Male,0,0,12, United-States, <=50K,1,1,4,1,-1
