,decile1b,decile3,id,decile1,sex,race,cluster,lsat,ugpa,zfygpa,dob_yr,grad,zgpa,bar1,bar1_yr,bar2,bar2_yr,fulltime,fam_inc,age,gender,parttime,male,race1,race2,dropout,other,asian,black,hisp,pass_bar,bar,tier,index604,indxgrp,indxgrp2
20,3.0,1.0,21,3.0,1,7,3,28,2.4,-0.59,53,Y,-1.49,P,7,P,95,1,3,-46,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,524.210514,d 520-580,d 520-580
21,,,22,1.0,2,3,6,26,2.5,-3.22,60,O, ,, ,, ,1,3, ,male,0,1,black,a black,YES,0,0,1,0, ,e non-Grad,1,502.631568,c 460-520,c 460-520
22,2.0,3.0,23,3.0,1,7,4,32.5,3.2,-0.76,69,Y,-0.56,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,675.2631425,f 640-700,f 640-700
23,9.0,9.0,24,9.0,2,7,6,32.5,2.4,1.04,66,Y,1.09,P,7,P,94,1,3,-59,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,1,595.2631425,e 580-640,e 580-640
24,7.0,8.0,25,8.0,1,3,6,23,2.8,0.56,64,Y,0.87,P,7,P,94,1,3,-57,female,0,0,black,a black,NO,0,0,1,0,1,a Passed 1st time,1,485.263149,c 460-520,c 460-520
25,4.0,3.0,26,5.0,1,7,3,37,2.8,-0.23,69,Y,-0.72,P,7,P,94,1,3,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,706.3157709999999,g 700+,g 700-760
26,9.0,9.0,27,9.0,1,7,5,41,3.9,1.08,64,Y,0.88,P,7,P,94,1,3,-57,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,879.473663,g 700+,i 820+
27,3.0,4.0,28,3.0,1,3,5,40,2.8,-0.69,65,Y,-0.45,P,7,P,94,1,4,-58,female,0,0,black,a black,NO,0,0,1,0,1,a Passed 1st time,6,753.68419,g 700+,g 700-760
28,8.0,7.0,29,8.0,1,7,3,30,3.3,0.58,68,Y,0.53,P,7,P,94,1,4,-61,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,645.78946,f 640-700,f 640-700
29,8.0,7.0,30,8.0,2,7,1,40,3.7,0.67,70,Y,0.4,P,7,P,94,1,4,-63,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,843.6841900000001,g 700+,i 820+
30,1.0,2.0,31,1.0,2,7,3,22,2.7,-1.8,68,Y,-1.13,P,7,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,459.473676,b 400-460,b 400-460
31,10.0,9.0,32,10.0,1,7,4,48,3.7,1.94,69,Y,0.98,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,969.999974,g 700+,i 820+
32,3.0,2.0,33,3.0,1,7,3,36,2.9,-0.53,68,Y,-1.05,F,7,P,95,1,4,-61,female,0,0,white,b white,NO,0,0,0,0,1,b Passed 2nd time,3,700.526298,g 700+,g 700-760
33,3.0,2.0,34,3.0,1,4,1,36,3.1,-0.67,68,Y,-0.9,P,7,P,94,1,3,-61,female,0,0,hisp,c other,NO,0,0,0,0,1,a Passed 1st time,4,720.526298,g 700+,g 700-760
34,,,35,1.0,2,3,3,20,2.1,-2.84,63,X, ,, ,, ,1,2, ,male,0,1,black,a black,NO,0,0,1,0, ,,3,367.89473,a under 400,a under 400
35,3.0,2.0,36,3.0,2,7,3,36,3.5,-0.64,65,Y,-1.12,P,7,P,94,1,1,-58,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,760.526298,g 700+,h 760-820
36,8.0,5.0,37,8.0,2,7,1,45,3,0.64,68,Y,-0.1,P,7,P,94,1,3,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,852.6315549999999,g 700+,i 820+
37,10.0,10.0,38,10.0,2,7,6,35,2.6,2.4,62,Y,3.22,P,2,P,94,1,3,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,1,654.736825,f 640-700,f 640-700
38,9.0,7.0,39,9.0,2,2,1,27, ,1.13,60,Y,0.41,P,7,P,94,1, ,-53,male,0,1,asian,c other,NO,0,1,0,0,1,a Passed 1st time,4, ,a under 400,a under 400
39,,,40,5.0,2,7,3,39,3.3,-0.15,52,O, ,, ,, ,1,4, ,male,0,1,white,b white,YES,0,0,0,0, ,e non-Grad,3,787.8947169999999,g 700+,h 760-820
40,,,41,,1,6,5,47,4, ,68,Y,0,P,7,P,95,1,4,-61,female,0,0,hisp,c other,NO,0,0,0,0,1,a Passed 1st time,6,984.210501,g 700+,i 820+
41,3.0,1.0,42,3.0,2,7,4,36,3.4,-0.6,67,Y,-1.63,P,7,P,94,1,2,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,750.526298,g 700+,g 700-760
42,,,43,,1,2,5,48,3.7, ,69,Y,0,P,7,P,94,1,4,-62,female,0,0,asian,c other,NO,0,1,0,0,1,a Passed 1st time,6,969.999974,g 700+,i 820+
43,9.0,8.0,44,9.0,1,7,1,46,3.8,1.27,69,Y,0.87,P,2,P,94,1,4,-67,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,948.421028,g 700+,i 820+
44,9.0,8.0,45,9.0,2,7,4,39,3.1,1.02,59,Y,0.73,P,7,P,95,2,3,-52,male,1,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,767.894717,g 700+,h 760-820
45,4.0,2.0,46,4.0,1,3,1,37,3,-0.38,66,Y,-1.1,, ,, ,1,2, ,female,0,0,black,a black,NO,0,0,1,0, ,d Never took bar,4,726.315771,g 700+,g 700-760
46,,,47,10.0,2,7,5,42,3.8,1.5,68,O, ,, ,, ,1,4, ,male,0,1,white,b white,YES,0,0,0,0, ,e non-Grad,6,885.2631359999999,g 700+,i 820+
47,4.0,5.0,48,4.0,1,7,3,39,2.7,-0.39,69,Y,-0.07,P,7,P,94,1,3,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,727.894717,g 700+,g 700-760
48,10.0,10.0,49,10.0,1,7,4,39,4,2.88,66,Y,2.87,P,7,P,94,1,3,-59,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,857.8947169999999,g 700+,i 820+
49,6.0,7.0,50,6.0,1,7,3,38,3,0.14,68,Y,0.53,P,7,P,94,1,3,-61,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,742.105244,g 700+,g 700-760
50,10.0,10.0,51,10.0,2,7,1,32,4,1.68,59,Y,1.33,P,7,P,94,1,3,-52,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,747.368406,g 700+,g 700-760
51,7.0,4.0,52,7.0,2,7,3,39,3.5,0.34,58,Y,-0.49,P,7,P,94,1,4,-51,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,807.8947169999999,g 700+,h 760-820
52,,,53,,2,7,5,41,3.1, ,67,Y, ,P,7,P,94,1,2,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,799.473663,g 700+,h 760-820
53,2.0,1.0,54,2.0,2,3,4,29,2.5,-1.08,64,Y,-1.46,P,7,P,94,1,3,-57,male,0,1,black,a black,NO,0,0,1,0,1,a Passed 1st time,5,549.9999869999999,d 520-580,d 520-580
54,9.0,8.0,55,9.0,2,7,4,48,3.5,1.02,68,Y,0.76,P,7,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,949.999974,g 700+,i 820+
55,1.0,2.0,56,1.0,1,4,3,27,2.5,-1.4,68,Y,-1.08,P,7,P,94,1,3,-61,female,0,0,hisp,c other,NO,0,0,0,0,1,a Passed 1st time,3,518.4210410000001,c 460-520,c 460-520
56,,,57,1.0,2,3,1,27,3.7,-1.48,57,O, ,, ,, ,2, , ,male,1,1,black,a black,YES,0,0,1,0, ,e non-Grad,4,638.4210410000001,e 580-640,e 580-640
57,2.0,1.0,58,2.0,2,2,1,31,2.6,-1.04,69,Y,-1.49,P,7,P,94,1,4,-62,male,0,1,asian,c other,NO,0,1,0,0,1,a Passed 1st time,4,591.578933,e 580-640,e 580-640
58,10.0,10.0,59,10.0,1,7,1,45,3.7,1.51,68,Y,1.69,P,7,P,94,1,3,-61,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,922.6315549999999,g 700+,i 820+
59,4.0,5.0,60,4.0,2,7,5,36,3.9,-0.45,68,Y,-0.04,P,7,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,800.526298,g 700+,h 760-820
60,2.0,2.0,61,2.0,2,2,1,34,2.5,-1.14,67,Y,-0.93,F,7,F,94,1,4,-60,male,0,1,asian,c other,NO,0,1,0,0,0,c Failed,4,628.9473519999999,e 580-640,e 580-640
61,6.0,2.0,62,6.0,2,7,1,35,3.8,0.27,67,Y,-0.98,P,7,P,95,1,3,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,774.736825,g 700+,h 760-820
62,3.0,4.0,63,3.0,2,6,4,35,3.1,-0.67,68,Y,-0.28,P,7,P,94,1,3,-61,male,0,1,hisp,c other,NO,0,0,0,0,1,a Passed 1st time,5,704.736825,g 700+,g 700-760
63,1.0,1.0,64,1.0,2,7,5,36,3.9,-1.5,67,Y,-2.18,P,7,P,94,1,4,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,800.526298,g 700+,h 760-820
64,2.0,2.0,65,2.0,2,7,1,42,3.3,-1.06,67,Y,-1.13,P,7,P,94,1,3,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,835.2631359999999,g 700+,i 820+
65,10.0,10.0,66,10.0,1,7,1,30,3.7,1.66,66,Y,1.52,P,7,P,94,1,3,-59,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,685.78946,f 640-700,f 640-700
66,8.0,10.0,67,8.0,1,7,4,25,3.7,0.6,69,Y,1.72,P,7,P,94,1,3,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,606.842095,e 580-640,e 580-640
67,4.0,2.0,68,4.0,1,7,4,31.5,3.6,-0.37,69,Y,-1.04,P,7,P,94,1,3,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,699.4736695,f 640-700,f 640-700
68,2.0,2.0,69,2.0,2,7,4,28,2.8,-0.93,64,Y,-1.29,, ,, ,1,3, ,male,0,1,white,b white,NO,0,0,0,0, ,d Never took bar,5,564.210514,d 520-580,d 520-580
69,8.0,8.0,70,8.0,2,7,1,40,3.2,0.82,68,Y,0.72,P,7,P,94,1,5,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,793.6841900000001,g 700+,h 760-820
70,,,71,6.0,2,7,5,45,3.7,0.34,69,Y, ,P,7,P,94,1,3,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,922.6315549999999,g 700+,i 820+
71,3.0,5.0,72,3.0,1,7,3,40,3.5,-0.64,68,Y,-0.12,P,7,P,94,1,4,-61,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,823.68419,g 700+,i 820+
72,7.0,7.0,73,7.0,1,7,1,41,3.7,0.44,69,Y,0.53,P,7,P,94,1,3,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,859.473663,g 700+,i 820+
73,9.0,7.0,74,9.0,1,7,3,34,3.5,0.96,69,Y,0.45,P,7,P,94,1,3,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,728.9473519999999,g 700+,g 700-760
74,,,75,7.0,1,7,1,36,3.8,0.33,69,O, ,, ,, ,1,3, ,female,0,0,white,b white,YES,0,0,0,0, ,e non-Grad,4,790.526298,g 700+,h 760-820
75,,,76,1.0,2,7,1,32,3.5,-1.57,67,O, ,, ,, ,1,4, ,male,0,1,white,b white,YES,0,0,0,0, ,e non-Grad,4,697.368406,f 640-700,f 640-700
76,7.0,6.0,77,7.0,2,7,1,39,3.4,0.45,69,Y,0.22,P,7,P,94,1,4,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,797.8947169999999,g 700+,h 760-820
77,4.0,4.0,78,4.0,1,8,4,38,3,-0.45,67,Y,-0.27,P,7,P,94,1,5,-60,female,0,0,other,c other,NO,1,0,0,0,1,a Passed 1st time,5,742.105244,g 700+,g 700-760
78,5.0,5.0,79,5.0,2,7,5,41,3.2,-0.16,66,Y,-0.19,F,7,P,95,1,5,-59,male,0,1,white,b white,NO,0,0,0,0,1,b Passed 2nd time,6,809.473663,g 700+,h 760-820
79,7.0,6.0,80,8.0,1,1,2,31,3.3,0.55,64,Y,0.08,P,7,P,94,1,4,-57,female,0,0,other,c other,NO,1,0,0,1,1,a Passed 1st time,2,661.578933,f 640-700,f 640-700
80,5.0,4.0,81,5.0,1,7,5,42,3.6,-0.03,68,Y,-0.28,P,2,P,94,1,3,-66,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,865.263136,g 700+,i 820+
81,6.0,8.0,82,6.0,1,7,3,34,3.2,0.16,69,Y,0.63,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,698.947352,f 640-700,f 640-700
82,,,83,,1,7,1,36,3.8, ,66,Y,0.94,P,2,P,96,2,3,-64,female,1,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,790.526298,g 700+,h 760-820
83,,,84,,2,7,3,37,3.5, ,69,O, ,, ,, ,1,4, ,male,0,1,white,b white,YES,0,0,0,0, ,e non-Grad,3,776.315771,g 700+,h 760-820
84,5.0,5.0,85,5.0,2,7,3,37,3,-0.11,69,Y,-0.23,P,7,P,94,1,3,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,726.315771,g 700+,g 700-760
85,8.0,4.0,86,8.0,2,7,3,42,2.3,0.81,67,Y,-0.3,P,7,P,94,1,3,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,735.2631359999999,g 700+,g 700-760
86,7.0,6.0,87,7.0,2,7,3,36,3.3,0.45,69,Y,0.23,P,7,P,95,1,4,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,740.526298,g 700+,g 700-760
87,9.0,8.0,88,9.0,2,7,3,42,3,1.05,69,Y,0.62,P,7,P,94,1,3,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,805.263136,g 700+,h 760-820
88,10.0,10.0,89,10.0,2,7,3,40,3.5,1.34,55,Y,1.41,P,7,P,95,2,2,-48,male,1,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,823.68419,g 700+,i 820+
89,,,90,,2,7, ,32,2.1,-0.93,65,O, ,, ,, ,2,3, ,male,1,1,white,b white,YES,0,0,0,0, ,e non-Grad, ,557.368406,d 520-580,d 520-580
90,8.0,9.0,91,8.0,1,3,6,29,2.8,0.81,67,Y,1.37,P,7,P,94,1,2,-60,female,0,0,black,a black,NO,0,0,1,0,1,a Passed 1st time,1,579.9999869999999,d 520-580,d 520-580
91,4.0,4.0,92,4.0,2,7,3,36,3.3,-0.39,68,Y,-0.35,P,7,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,740.526298,g 700+,g 700-760
92,9.0,9.0,93,9.0,2,7,3,36,2.9,0.91,49,Y,1.2,P,7,P,94,1,4,-42,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,700.526298,g 700+,g 700-760
93,4.0,4.0,94,4.0,1,7,3,37,2.7,-0.33,61,Y,-0.3,P,2,P,95,1,4,-59,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,696.315771,f 640-700,f 640-700
94,6.0,5.0,95,7.0,1,7,1,35,3.1,0.31,65,Y,-0.01,P,7,P,94,1,5,-58,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,704.736825,g 700+,g 700-760
95,4.0,3.0,96,4.0,1,7,1,41,3.4,-0.38,65,Y,-0.83,F,7,F,94,1,3,-58,female,0,0,white,b white,NO,0,0,0,0,0,c Failed,4,829.473663,g 700+,i 820+
96,,,97,,1,7,3,32,3.6, ,54,O, ,, ,, ,2,5, ,female,1,0,white,b white,YES,0,0,0,0, ,e non-Grad,3,707.368406,g 700+,g 700-760
97,6.0,5.0,98,6.0,2,7,3,42,2.9,0.1,64,Y,-0.18,P,7,P,94,1,4,-57,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,795.2631359999999,g 700+,h 760-820
98,2.0,3.0,99,2.0,1,7,5,33.5,3.4,-0.91,67,Y,-0.57,P,7,P,94,1,4,-60,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,711.0526155,g 700+,g 700-760
99,2.0,2.0,100,2.0,1,6,1,32,3,-1.02,67,Y,-1.33,F,2,P,94,1,3,-65,female,0,0,hisp,c other,NO,0,0,0,0,1,b Passed 2nd time,4,647.368406,f 640-700,f 640-700
100,6.0,5.0,101,6.0,1,7,2,36,3.7,0.12,69,Y,-0.13,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,2,780.526298,g 700+,h 760-820
101,2.0,3.0,102,2.0,1,7,5,34.5,3.3,-0.95,67,Y,-0.8,P,7,P,94,1,4,-60,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,716.8420884999999,g 700+,g 700-760
102,1.0,2.0,103,2.0,1,7,2,32,3,-1.26,69,Y,-1.02,P,7,P,95,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,2,647.368406,f 640-700,f 640-700
103,9.0,9.0,104,9.0,2,7,2,35,3.3,0.91,68,Y,1.26,P,7,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,2,724.736825,g 700+,g 700-760
104,9.0,8.0,105,10.0,1,7,1,34,2.9,1.31,68,Y,0.64,P,7,P,94,1,2,-61,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,668.9473519999999,f 640-700,f 640-700
105,,,106,9.0,2,7,2,33,3.3,0.96,52,O, ,, ,, ,1,3, ,male,0,1,white,b white,YES,0,0,0,0, ,e non-Grad,2,693.157879,f 640-700,f 640-700
106,5.0,3.0,107,6.0,2,6,6,27,3.1,0.05,68,Y,-0.68,P,7,P,94,1,2,-61,male,0,1,hisp,c other,NO,0,0,0,0,1,a Passed 1st time,1,578.4210410000001,d 520-580,d 520-580
107,7.0,9.0,108,7.0,2,7,4,39,3.4,0.36,61,Y,1.23,P,7,P,95,2,3,-54,male,1,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,797.8947169999999,g 700+,h 760-820
108,4.0,2.0,109,4.0,2,7,4,40,3.5,-0.44,68,Y,-1.01,P,7,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,823.68419,g 700+,i 820+
109,,,110,1.0,2,3,6,19.5,2.9,-1.36,66,O, ,, ,, ,1,1, ,male,0,1,black,a black,YES,0,0,1,0, ,e non-Grad,1,439.99999349999996,b 400-460,b 400-460
110,2.0,2.0,111,3.0,2,7,2,32,3.9,-0.88,69,Y,-1.14,P,7,P,94,1,4,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,2,737.3684059999999,g 700+,g 700-760
111,4.0,5.0,112,4.0,2,7,1,41,3,-0.37,61,Y,-0.19,, ,, ,2,2, ,male,1,1,white,b white,NO,0,0,0,0, ,d Never took bar,4,789.473663,g 700+,h 760-820
112,3.0,2.0,113,3.0,1,7,1,42,3.3,-0.64,58,Y,-1.1,P,7,P,94,1,3,-51,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,835.2631359999999,g 700+,i 820+
113,8.0,10.0,114,8.0,2,7,4,35,2.9,0.8,56,Y,1.53,P,2,P,95,2,3,-54,male,1,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,684.736825,f 640-700,f 640-700
114,3.0,5.0,115,4.0,1,3,6,34,2.9,-0.36,70,Y,-0.08,P,7,P,94,1,2,-63,female,0,0,black,a black,NO,0,0,1,0,1,a Passed 1st time,1,668.9473519999999,f 640-700,f 640-700
115,2.0,1.0,116,2.0,1,7,1,38,3.2,-0.98,69,Y,-1.72,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,762.105244,g 700+,h 760-820
116,6.0,8.0,117,7.0,1,7,1,39,3.3,0.29,57,Y,0.78,, ,, ,1,3, ,female,0,0,white,b white,NO,0,0,0,0, ,d Never took bar,4,787.8947169999999,g 700+,h 760-820
117,2.0,2.0,118,2.0,2,7,1,42,3.4,-0.84,63,Y,-0.93,P,7,P,94,1,3,-56,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,845.2631359999999,g 700+,i 820+
118,,,119,,1,7,1,36,3.5, ,52,O, ,, ,, ,2,3, ,female,1,0,white,b white,YES,0,0,0,0, ,e non-Grad,4,760.526298,g 700+,h 760-820
119,,,120,2.0,1,7,3,34,3,-1.16,69,O, ,, ,, ,2,4, ,female,1,0,white,b white,YES,0,0,0,0, ,e non-Grad,3,678.9473519999999,f 640-700,f 640-700
120,4.0,4.0,121,4.0,1,7,1,38,3.6,-0.4,69,Y,-0.46,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,802.105244,g 700+,h 760-820
121,3.0,3.0,122,3.0,1,7,1,37,3.2,-0.65,68,Y,-0.59,P,7,P,94,1,3,-61,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,746.315771,g 700+,g 700-760
122,,,123,1.0,2,7,5,40,3.6,-2.12,68,O, ,, ,, ,1,4, ,male,0,1,white,b white,YES,0,0,0,0, ,e non-Grad,6,833.6841900000001,g 700+,i 820+
123,4.0,2.0,124,4.0,2,7,4,43,3.5,-0.42,68,Y,-0.92,, ,, ,1,3, ,male,0,1,white,b white,NO,0,0,0,0, ,d Never took bar,5,871.052609,g 700+,i 820+
124,5.0,7.0,125,5.0,2,7,5,41,3.8,0.02,67,Y,0.33,P,7,P,94,1,3,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,869.473663,g 700+,i 820+
125,9.0,8.0,126,9.0,1,7,3,32,3.1,1.04,68,Y,0.64,P,2,P,95,1,3,-66,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,657.368406,f 640-700,f 640-700
126,1.0,1.0,127,2.0,1,7,3,29,2.8,-1.13,55,Y,-1.49,F,7,F,94,1,4,-48,female,0,0,white,b white,NO,0,0,0,0,0,c Failed,3,579.9999869999999,d 520-580,d 520-580
127,7.0,9.0,128,7.0,2,7,1,40,3.4,0.55,65,Y,1.01,P,7,P,94,1,4,-58,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,813.68419,g 700+,h 760-820
128,8.0,5.0,129,8.0,2,7,3,37,2.7,0.61,67,Y,-0.27,P,7,P,94,1,3,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,696.315771,f 640-700,f 640-700
129,4.0,7.0,130,5.0,1,7,3, ,3.6,-0.23,57,Y,0.39,P,2,P,95,2,1,-55,female,1,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3, ,a under 400,a under 400
